Model,Price,Spec
"realme C25s (Watery Grey, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C33 2023 (Sandy Gold, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C33 2023 (Night Sea, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme Narzo 50 (Speed Black, 64 GB)","₹12,979",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C31 (Dark Green, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C33 2023 (Aqua Blue, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C33 (Aqua Blue, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 60 Pro 5G (Mars Orange, 256 GB)","₹28,000",12 GB RAM | 256 GB ROM
"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 60 pro 5G (?Cosmic Black, 128 GB)","₹24,068",8 GB RAM | 128 GB ROM
"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)","₹21,990",8 GB RAM | 128 GB ROM
"realme Narzo 60 pro 5G (Cosmic Black, 256 GB)","₹27,717",12 GB RAM | 256 GB ROM
"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme XT (Pearl Blue, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C31 (Dark Green, 32 GB)","₹9,290",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme C31 (Light Silver, 32 GB)","₹9,290",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme C25s (Watery Blue, 128 GB)","₹11,299",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C53 (CHAMPION GOLD, 128 GB)","₹11,998",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme C33 2023 (Night Sea, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 3i (Diamond Red, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 3i (Diamond Black, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C31 (Light Silver, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 3i (Diamond Blue, 32 GB)","₹8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 3i (Diamond Black, 32 GB)","₹8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT 5G (Dashing Silver, 128 GB)","₹25,999",8 GB RAM | 128 GB ROM
"realme 9 5G (Meteor Black, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme GT 5G (Dashing Blue, 128 GB)","₹25,999",8 GB RAM | 128 GB ROM
"realme C21Y (Cross Blue, 32 GB)","₹7,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme X7 5G (Space Silver, 128 GB)","₹21,999",6 GB RAM | 128 GB ROM
"realme 6 Pro (Lightning Orange, 64 GB)","₹17,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C25_Y (Metal Grey, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM
"realme C25_Y (Glacier Blue, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM
